Metamath - Version 0.177 27-Apr-2019          Type HELP for help, EXIT to exit.
MM> READ "set.mm"
Reading source file "set.mm"... 35125687 bytes
35125687 bytes were read into the source buffer.
The source has 158653 statements; 2313 are $a and 32727 are $p.
No errors were found.  However, proofs were not checked.  Type VERIFY PROOF *
if you want to check them.
label:pm2.43i,steps:3,subtheorems_dup:3,totalsteps_dup:13,subtheorems:1,totalsteps:10,extendedstep:9,maxpathlen:4
label:pm2.43d,steps:3,subtheorems_dup:8,totalsteps_dup:31,subtheorems:2,totalsteps:17,extendedstep:17,maxpathlen:7
label:pm2.43a,steps:3,subtheorems_dup:9,totalsteps_dup:34,subtheorems:2,totalsteps:19,extendedstep:21,maxpathlen:7
label:pm2.43b,steps:3,subtheorems_dup:13,totalsteps_dup:48,subtheorems:5,totalsteps:28,extendedstep:39,maxpathlen:8
label:pm2.43,steps:2,subtheorems_dup:10,totalsteps_dup:35,subtheorems:4,totalsteps:22,extendedstep:25,maxpathlen:8
label:imim2d,steps:3,subtheorems_dup:6,totalsteps_dup:23,subtheorems:1,totalsteps:12,extendedstep:13,maxpathlen:5
label:imim2,steps:2,subtheorems_dup:8,totalsteps_dup:28,subtheorems:2,totalsteps:17,extendedstep:17,maxpathlen:6
label:embantd,steps:4,subtheorems_dup:9,totalsteps_dup:35,subtheorems:4,totalsteps:23,extendedstep:29,maxpathlen:7
label:3syld,steps:5,subtheorems_dup:8,totalsteps_dup:33,subtheorems:3,totalsteps:22,extendedstep:33,maxpathlen:7
label:sylsyld,steps:5,subtheorems_dup:8,totalsteps_dup:33,subtheorems:2,totalsteps:19,extendedstep:23,maxpathlen:7
label:imim12i,steps:4,subtheorems_dup:11,totalsteps_dup:42,subtheorems:5,totalsteps:29,extendedstep:37,maxpathlen:8
label:imim1i,steps:3,subtheorems_dup:12,totalsteps_dup:45,subtheorems:6,totalsteps:30,extendedstep:41,maxpathlen:9
label:imim3i,steps:3,subtheorems_dup:6,totalsteps_dup:23,subtheorems:2,totalsteps:13,extendedstep:11,maxpathlen:5
label:sylc,steps:5,subtheorems_dup:12,totalsteps_dup:48,subtheorems:5,totalsteps:30,extendedstep:47,maxpathlen:9
label:syl3c,steps:6,subtheorems_dup:13,totalsteps_dup:54,subtheorems:5,totalsteps:32,extendedstep:51,maxpathlen:10
label:syl6mpi,steps:5,subtheorems_dup:7,totalsteps_dup:31,subtheorems:3,totalsteps:19,extendedstep:17,maxpathlen:6
label:mpsyl,steps:5,subtheorems_dup:13,totalsteps_dup:53,subtheorems:6,totalsteps:33,extendedstep:49,maxpathlen:10
label:syl6c,steps:5,subtheorems_dup:8,totalsteps_dup:34,subtheorems:4,totalsteps:23,extendedstep:21,maxpathlen:6
label:syldd,steps:4,subtheorems_dup:13,totalsteps_dup:49,subtheorems:5,totalsteps:30,extendedstep:37,maxpathlen:7
label:syl5d,steps:4,subtheorems_dup:14,totalsteps_dup:53,subtheorems:6,totalsteps:33,extendedstep:43,maxpathlen:8
label:syl7,steps:4,subtheorems_dup:15,totalsteps_dup:57,subtheorems:6,totalsteps:34,extendedstep:45,maxpathlen:9
label:syl6d,steps:4,subtheorems_dup:14,totalsteps_dup:53,subtheorems:6,totalsteps:33,extendedstep:43,maxpathlen:8
label:syl8,steps:4,subtheorems_dup:15,totalsteps_dup:57,subtheorems:6,totalsteps:34,extendedstep:45,maxpathlen:9
label:syl9,steps:4,subtheorems_dup:15,totalsteps_dup:57,subtheorems:6,totalsteps:34,extendedstep:45,maxpathlen:9
label:syl9r,steps:4,subtheorems_dup:18,totalsteps_dup:68,subtheorems:8,totalsteps:41,extendedstep:63,maxpathlen:10
label:imim12d,steps:4,subtheorems_dup:15,totalsteps_dup:57,subtheorems:7,totalsteps:36,extendedstep:55,maxpathlen:9
label:imim1d,steps:3,subtheorems_dup:17,totalsteps_dup:62,subtheorems:8,totalsteps:38,extendedstep:61,maxpathlen:10
label:imim1,steps:2,subtheorems_dup:18,totalsteps_dup:64,subtheorems:8,totalsteps:38,extendedstep:65,maxpathlen:11
label:pm2.83,steps:2,subtheorems_dup:21,totalsteps_dup:72,subtheorems:8,totalsteps:41,extendedstep:75,maxpathlen:12
label:com23,steps:3,subtheorems_dup:19,totalsteps_dup:69,subtheorems:8,totalsteps:41,extendedstep:67,maxpathlen:10
label:com3r,steps:3,subtheorems_dup:20,totalsteps_dup:72,subtheorems:9,totalsteps:44,extendedstep:85,maxpathlen:11
label:com13,steps:3,subtheorems_dup:21,totalsteps_dup:75,subtheorems:10,totalsteps:47,extendedstep:151,maxpathlen:12
label:com3l,steps:3,subtheorems_dup:21,totalsteps_dup:75,subtheorems:10,totalsteps:47,extendedstep:169,maxpathlen:12
label:pm2.04,steps:2,subtheorems_dup:20,totalsteps_dup:71,subtheorems:8,totalsteps:41,extendedstep:71,maxpathlen:11
label:com34,steps:3,subtheorems_dup:21,totalsteps_dup:74,subtheorems:9,totalsteps:46,extendedstep:81,maxpathlen:12
label:com4l,steps:3,subtheorems_dup:24,totalsteps_dup:83,subtheorems:12,totalsteps:55,extendedstep:249,maxpathlen:13
label:com4t,steps:3,subtheorems_dup:25,totalsteps_dup:86,subtheorems:13,totalsteps:58,extendedstep:497,maxpathlen:14
label:com4r,steps:3,subtheorems_dup:26,totalsteps_dup:89,subtheorems:13,totalsteps:59,extendedstep:745,maxpathlen:15
label:com24,steps:3,subtheorems_dup:27,totalsteps_dup:92,subtheorems:13,totalsteps:60,extendedstep:647,maxpathlen:15
label:com14,steps:3,subtheorems_dup:25,totalsteps_dup:86,subtheorems:12,totalsteps:56,extendedstep:333,maxpathlen:14
label:com45,steps:3,subtheorems_dup:23,totalsteps_dup:82,subtheorems:9,totalsteps:48,extendedstep:115,maxpathlen:12
label:com35,steps:4,subtheorems_dup:25,totalsteps_dup:89,subtheorems:12,totalsteps:57,extendedstep:275,maxpathlen:13
label:com25,steps:4,subtheorems_dup:31,totalsteps_dup:107,subtheorems:16,totalsteps:71,extendedstep:1407,maxpathlen:16
label:com5l,steps:3,subtheorems_dup:28,totalsteps_dup:97,subtheorems:14,totalsteps:63,extendedstep:363,maxpathlen:14
label:com15,steps:3,subtheorems_dup:31,totalsteps_dup:106,subtheorems:15,totalsteps:68,extendedstep:1107,maxpathlen:16
label:com52l,steps:3,subtheorems_dup:29,totalsteps_dup:100,subtheorems:15,totalsteps:66,extendedstep:725,maxpathlen:15
label:com52r,steps:3,subtheorems_dup:30,totalsteps_dup:103,subtheorems:15,totalsteps:67,extendedstep:1087,maxpathlen:16
label:com5r,steps:3,subtheorems_dup:30,totalsteps_dup:103,subtheorems:16,totalsteps:69,extendedstep:1449,maxpathlen:16
label:jarr,steps:2,subtheorems_dup:13,totalsteps_dup:47,subtheorems:6,totalsteps:30,extendedstep:41,maxpathlen:10
label:pm2.86i,steps:4,subtheorems_dup:9,totalsteps_dup:35,subtheorems:3,totalsteps:22,extendedstep:25,maxpathlen:7
label:pm2.86d,steps:4,subtheorems_dup:21,totalsteps_dup:77,subtheorems:10,totalsteps:49,extendedstep:99,maxpathlen:11
label:pm2.86,steps:2,subtheorems_dup:22,totalsteps_dup:79,subtheorems:10,totalsteps:49,extendedstep:103,maxpathlen:12
label:loolin,steps:2,subtheorems_dup:18,totalsteps_dup:63,subtheorems:6,totalsteps:35,extendedstep:57,maxpathlen:11
label:loowoz,steps:2,subtheorems_dup:15,totalsteps_dup:52,subtheorems:6,totalsteps:32,extendedstep:47,maxpathlen:11
label:con4d,steps:3,subtheorems_dup:4,totalsteps_dup:17,subtheorems:0,totalsteps:7,extendedstep:7,maxpathlen:4
label:pm2.21d,steps:3,subtheorems_dup:6,totalsteps_dup:23,subtheorems:1,totalsteps:12,extendedstep:13,maxpathlen:5
label:pm2.21dd,steps:4,subtheorems_dup:7,totalsteps_dup:27,subtheorems:2,totalsteps:17,extendedstep:17,maxpathlen:6
label:pm2.21,steps:2,subtheorems_dup:8,totalsteps_dup:28,subtheorems:2,totalsteps:17,extendedstep:17,maxpathlen:6
label:pm2.24,steps:2,subtheorems_dup:12,totalsteps_dup:41,subtheorems:5,totalsteps:26,extendedstep:35,maxpathlen:7
label:pm2.18,steps:4,subtheorems_dup:10,totalsteps_dup:35,subtheorems:5,totalsteps:26,extendedstep:33,maxpathlen:7
label:pm2.18d,steps:3,subtheorems_dup:11,totalsteps_dup:38,subtheorems:5,totalsteps:28,extendedstep:39,maxpathlen:8
label:notnot2,steps:2,subtheorems_dup:12,totalsteps_dup:40,subtheorems:6,totalsteps:29,extendedstep:55,maxpathlen:9
label:notnotrd,steps:3,subtheorems_dup:13,totalsteps_dup:43,subtheorems:6,totalsteps:31,extendedstep:61,maxpathlen:10
label:notnotri,steps:3,subtheorems_dup:13,totalsteps_dup:43,subtheorems:6,totalsteps:31,extendedstep:57,maxpathlen:10
label:con2d,steps:4,subtheorems_dup:17,totalsteps_dup:59,subtheorems:8,totalsteps:41,extendedstep:93,maxpathlen:10
label:con2,steps:2,subtheorems_dup:18,totalsteps_dup:61,subtheorems:8,totalsteps:41,extendedstep:97,maxpathlen:11
label:mt2d,steps:4,subtheorems_dup:18,totalsteps_dup:63,subtheorems:8,totalsteps:43,extendedstep:97,maxpathlen:11
label:mt2i,steps:4,subtheorems_dup:19,totalsteps_dup:67,subtheorems:9,totalsteps:46,extendedstep:99,maxpathlen:12
label:nsyl3,steps:4,subtheorems_dup:19,totalsteps_dup:67,subtheorems:9,totalsteps:46,extendedstep:99,maxpathlen:12
label:con2i,steps:3,subtheorems_dup:20,totalsteps_dup:70,subtheorems:9,totalsteps:46,extendedstep:103,maxpathlen:13
label:nsyl,steps:4,subtheorems_dup:21,totalsteps_dup:74,subtheorems:10,totalsteps:51,extendedstep:201,maxpathlen:14
label:notnot1,steps:2,subtheorems_dup:21,totalsteps_dup:72,subtheorems:9,totalsteps:46,extendedstep:107,maxpathlen:14
label:notnoti,steps:3,subtheorems_dup:22,totalsteps_dup:75,subtheorems:9,totalsteps:48,extendedstep:109,maxpathlen:15
label:con1d,steps:4,subtheorems_dup:23,totalsteps_dup:80,subtheorems:10,totalsteps:53,extendedstep:123,maxpathlen:15
label:mt3d,steps:4,subtheorems_dup:24,totalsteps_dup:84,subtheorems:10,totalsteps:55,extendedstep:127,maxpathlen:16
label:mt3i,steps:4,subtheorems_dup:25,totalsteps_dup:88,subtheorems:10,totalsteps:56,extendedstep:129,maxpathlen:17
label:nsyl2,steps:4,subtheorems_dup:25,totalsteps_dup:88,subtheorems:10,totalsteps:56,extendedstep:129,maxpathlen:17
label:con1,steps:2,subtheorems_dup:24,totalsteps_dup:82,subtheorems:10,totalsteps:53,extendedstep:127,maxpathlen:16
label:con1i,steps:3,subtheorems_dup:26,totalsteps_dup:91,subtheorems:10,totalsteps:56,extendedstep:133,maxpathlen:18
label:con4i,steps:3,subtheorems_dup:26,totalsteps_dup:91,subtheorems:11,totalsteps:57,extendedstep:235,maxpathlen:18
label:pm2.21i,steps:3,subtheorems_dup:27,totalsteps_dup:94,subtheorems:11,totalsteps:58,extendedstep:237,maxpathlen:19
label:pm2.24ii,steps:4,subtheorems_dup:28,totalsteps_dup:98,subtheorems:11,totalsteps:60,extendedstep:239,maxpathlen:20
label:con3d,steps:4,subtheorems_dup:24,totalsteps_dup:84,subtheorems:12,totalsteps:59,extendedstep:209,maxpathlen:16
label:con3,steps:2,subtheorems_dup:25,totalsteps_dup:86,subtheorems:12,totalsteps:59,extendedstep:213,maxpathlen:17
label:con3i,steps:3,subtheorems_dup:22,totalsteps_dup:77,subtheorems:10,totalsteps:51,extendedstep:205,maxpathlen:15
label:con3rr3,steps:3,subtheorems_dup:25,totalsteps_dup:87,subtheorems:13,totalsteps:62,extendedstep:227,maxpathlen:17
label:mt4,steps:4,subtheorems_dup:27,totalsteps_dup:95,subtheorems:11,totalsteps:59,extendedstep:237,maxpathlen:19
label:mt4d,steps:4,subtheorems_dup:5,totalsteps_dup:21,subtheorems:1,totalsteps:12,extendedstep:11,maxpathlen:5
label:mt4i,steps:4,subtheorems_dup:6,totalsteps_dup:25,subtheorems:2,totalsteps:15,extendedstep:13,maxpathlen:6
label:nsyld,steps:4,subtheorems_dup:28,totalsteps_dup:99,subtheorems:12,totalsteps:64,extendedstep:225,maxpathlen:17
label:nsyli,steps:4,subtheorems_dup:25,totalsteps_dup:88,subtheorems:12,totalsteps:61,extendedstep:241,maxpathlen:17
label:nsyl4,steps:4,subtheorems_dup:27,totalsteps_dup:95,subtheorems:10,totalsteps:58,extendedstep:139,maxpathlen:19
label:pm2.24d,steps:3,subtheorems_dup:24,totalsteps_dup:83,subtheorems:10,totalsteps:54,extendedstep:129,maxpathlen:16
label:pm2.24i,steps:3,subtheorems_dup:27,totalsteps_dup:94,subtheorems:10,totalsteps:57,extendedstep:135,maxpathlen:19
label:pm3.2im,steps:2,subtheorems_dup:19,totalsteps_dup:63,subtheorems:9,totalsteps:44,extendedstep:115,maxpathlen:11
label:mth8,steps:2,subtheorems_dup:26,totalsteps_dup:88,subtheorems:13,totalsteps:62,extendedstep:231,maxpathlen:17
label:jc,steps:4,subtheorems_dup:22,totalsteps_dup:77,subtheorems:11,totalsteps:54,extendedstep:161,maxpathlen:12
