con3i	3	subtheorems	77	10	51	205	15
con3rr3	3	subtheorems	87	13	62	227	17
mt4	4	subtheorems	95	11	59	237	19
mt4d	4	subtheorems	21	1	12	11	5
mt4i	4	subtheorems	25	2	15	13	6
nsyld	4	subtheorems	99	12	64	225	17
nsyli	4	subtheorems	88	12	61	241	17
nsyl4	4	subtheorems	95	10	58	139	19
pm2.24d	3	subtheorems	83	10	54	129	16
pm2.24i	3	subtheorems	94	10	57	135	19
pm3.2im	2	subtheorems	63	9	44	115	11
mth8	2	subtheorems	88	13	62	231	17
jc	4	subtheorems	77	11	54	161	12
impi	3	subtheorems	101	14	68	359	19
expi	3	subtheorems	70	11	52	125	12
simprim	2	subtheorems	105	14	69	365	20
simplim	2	subtheorems	93	10	56	149	19
pm2.5	2	subtheorems	98	11	60	277	20
pm2.51	3	subtheorems	80	10	52	211	16
pm2.521	2	subtheorems	95	10	57	155	20
pm2.52	2	subtheorems	101	13	66	363	21
expt	3	subtheorems	104	13	66	193	12
impt	4	subtheorems	132	15	81	565	21
pm2.61d	5	subtheorems	96	11	61	177	16
pm2.61d1	4	subtheorems	100	11	62	179	17
pm2.61d2	4	subtheorems	100	11	62	179	17
ja	4	subtheorems	107	11	64	183	18
jad	6	subtheorems	113	12	69	237	19
jarl	2	subtheorems	55	7	35	57	10
pm2.61i	5	subtheorems	112	11	66	189	19
pm2.61ii	5	subtheorems	121	12	72	367	20
pm2.61nii	5	subtheorems	117	12	71	367	20
pm2.61iii	8	subtheorems	129	13	79	567	21
pm2.01	3	subtheorems	110	11	64	186	19
pm2.01d	3	subtheorems	103	11	62	183	18
pm2.6	3	subtheorems	118	12	70	247	20
pm2.61	2	subtheorems	120	12	71	265	21
pm2.65	3	subtheorems	124	15	79	455	20
pm2.65i	5	subtheorems	124	13	75	495	20
pm2.65d	4	subtheorems	115	15	76	407	19
mto	4	subtheorems	128	13	76	497	21
mtod	4	subtheorems	119	15	77	413	20
mtoi	4	subtheorems	123	15	78	415	21
mt2	4	subtheorems	128	13	76	497	21
mt3	4	subtheorems	135	14	79	553	22
peirce	3	subtheorems	123	12	70	335	20
looinv	3	subtheorems	155	16	91	409	21
bijust	3	subtheorems	134	14	81	686	22
bi1	5	subtheorems	98	11	61	305	20
bi3	4	subtheorems	116	16	80	491	21
impbii	4	subtheorems	125	16	84	495	22
impbidd	4	subtheorems	132	16	86	511	22
impbid21d	5	subtheorems	137	16	88	519	23
impbid	4	subtheorems	141	17	91	527	24
dfbi1	6	subtheorems	133	19	93	1493	23
dfbi1gb	17	subtheorems	17	0	17	17	1
biimpi	3	subtheorems	101	11	63	307	21
sylbi	4	subtheorems	105	11	65	313	22
sylib	4	subtheorems	105	11	65	313	22
bi2	3	subtheorems	148	21	103	2169	24
bicom1	3	subtheorems	176	23	115	2999	25
bicom	3	subtheorems	179	25	121	6491	26
bicomd	3	subtheorems	186	26	126	6803	27
bicomi	3	subtheorems	179	23	117	3001	26
impbid1	4	subtheorems	145	17	92	529	25
impbid2	4	subtheorems	194	27	132	7331	28
impcon4bid	4	subtheorems	145	17	92	533	25
biimpri	3	subtheorems	182	24	120	3307	27
biimpd	3	subtheorems	101	11	63	311	21
mpbi	4	subtheorems	105	11	65	309	22
mpbir	4	subtheorems	186	24	122	3309	28
mpbid	4	subtheorems	105	11	65	315	22
mpbii	4	subtheorems	109	11	66	317	23
sylibr	4	subtheorems	186	24	122	3313	28
sylbir	4	subtheorems	186	24	122	3313	28
sylibd	4	subtheorems	116	11	68	327	22
sylbid	4	subtheorems	116	11	68	327	22
mpbidi	4	subtheorems	105	11	65	319	22
